data-cultivo1-nombre,data-cultivo1-trabajo_comunal,data-cultivo1-obtuvo_producto,data-cultivo1-factores_no_cosecha-se_debio,data-cultivo1-factores_no_cosecha-otro_factor,data-cultivo1-factores_no_cosecha-factores_ambientales,data-cultivo1-factores_no_cosecha-otro_factor_ambiental,data-cultivo1-factores_no_cosecha-factores_manejo,data-cultivo1-factores_no_cosecha-otro_factor_manejo,data-cultivo1-fecha_cosecha-inicio,data-cultivo1-fecha_cosecha-termino,data-cultivo1-momento_cosecha,data-cultivo1-especifique_momento_cosecha,data-cultivo1-foto_cosecha,PARENT_KEY,KEY
Papa,cosecha,si, , , , , , ,01/04/21,08/04/21,madurez_fisiologica, , ,uuid:1c135f7c-fb51-4034-94c6-9d3a9c4eddcd,uuid:1c135f7c-fb51-4034-94c6-9d3a9c4eddcd/cultivo1[1]
Papa,cosecha,si, , , , , , ,08/07/21,24/07/21,madurez_fisiologica, , ,uuid:0180dcbe-ca27-4642-9a69-2d91d3a9c304,uuid:0180dcbe-ca27-4642-9a69-2d91d3a9c304/cultivo1[1]
Papa,cosecha,si, , , , , , ,27/07/21,30/07/21,madurez_comercial, , ,uuid:ef9f170a-c9db-4c2b-bab0-cb8017c50c9e,uuid:ef9f170a-c9db-4c2b-bab0-cb8017c50c9e/cultivo1[1]
Papa,cosecha,si, , , , , , ,08/06/21,13/06/21,madurez_comercial, , ,uuid:1e85146b-8802-4d91-8c33-71447ac5a55e,uuid:1e85146b-8802-4d91-8c33-71447ac5a55e/cultivo1[1]
Papa,cosecha,si, , , , , , ,01/09/21,13/09/21,madurez_fisiologica, , ,uuid:1c90e5f1-f528-4fca-a287-39a917dfd537,uuid:1c90e5f1-f528-4fca-a287-39a917dfd537/cultivo1[1]
Papa,cosecha,si, , , , , , ,09/07/21,10/07/21,madurez_comercial, , ,uuid:7b1785a2-1dd7-4214-8baa-b67d2506ead0,uuid:7b1785a2-1dd7-4214-8baa-b67d2506ead0/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/04/21,23/04/21,madurez_fisiologica, , ,uuid:3d38cc62-4bad-473a-bf5e-aaed9fdc771a,uuid:3d38cc62-4bad-473a-bf5e-aaed9fdc771a/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/08/21,20/08/21,madurez_fisiologica, , ,uuid:ee306326-3b38-46a7-be35-ac83b89d917b,uuid:ee306326-3b38-46a7-be35-ac83b89d917b/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/07/21,21/07/21,condiciones_agroclimaticas, , ,uuid:29aeaa27-23ed-4504-b62a-4652619b10d8,uuid:29aeaa27-23ed-4504-b62a-4652619b10d8/cultivo1[1]
Papa,cosecha,si, , , , , , ,21/06/21,26/06/21,madurez_comercial, , ,uuid:be46824e-5508-41d0-adfb-567d190f4e39,uuid:be46824e-5508-41d0-adfb-567d190f4e39/cultivo1[1]
